techset,techniques
2d,;;;;vertcol_simple2d;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ambient_r0c0,;build_floatz;build_shadowmap_depth;build_shadowmap_color_sm3;vcsh;;;;;;;;;;;;;;;;;l_spot_r0c0;l_omni_r0c0;l_spot_r0c0;fakelight_normal;fakelight_view;sunpre_r0c0;case_texture;wireframe_solid;wireframe_shaded;shadowcookie_caster;shadowcookie_receiver;debug_bumpmap;
ambient_t0c0,;build_floatz_test;build_shadowmap_depth_test;build_shadowmap_color_test_sm3;vcsh;;;;;;;;;;;;;;;;;l_spot_t0c0;l_omni_t0c0;l_spot_t0c0;fakelight_normal;fakelight_view;sunpre_t0c0;case_texture;wireframe_solid;wireframe_shaded;;;debug_bumpmap;
cinematic,cinematic;;;;cinematic;;;;;;;;;;;;;;;;;;;;cinematic;cinematic;;;;;;;;
clear_alpha_stencil,;;;;clear_alpha_stencil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
color_channel_mixer,;;;;color_channel_mixer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
default,textured_simple;;;;textured_simple;;;textured_simple;textured_simple;textured_simple;textured_simple;textured_simple;textured_simple;textured_simple;textured_simple;textured_simple;textured_simple;textured_simple;textured_simple;textured_simple;textured_simple;;;;textured_simple;textured_simple;;;wireframe_solid;wireframe_shaded;;;;
depthprepass,zprepass;build_floatz;build_shadowmap_depth;build_shadowmap_color_sm3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
effect_spot,;;;;vertcol_simple_spot_fog_dtex;vertcol_simple_spot_fog_dtex;vertcol_simple_spot_fog_dtex;;;;;;;;;;;;;;;;;;vertcol_simple_spot_fog_dtex;vertcol_simple_spot_fog_dtex;;;wireframe_solid_dtex;;;;;
effect_spot_hsm,;;;;vertcol_simple_spot_fog_dtex;vertcol_simple_spot_fog_dtex;vertcol_simple_spot_fog_dtex;;;;;;;;;;;;;;;;;;vertcol_simple_spot_fog_dtex;vertcol_simple_spot_fog_dtex;;;wireframe_solid_dtex;;;;;
effect_spot_sm,;;;;vertcol_simple_spot_fog_dtex;vertcol_simple_spot_fog_dtex;vertcol_simple_spot_fog_dtex;;;;;;;;;;;;;;;;;;vertcol_simple_spot_fog_dtex;vertcol_simple_spot_fog_dtex;;;wireframe_solid_dtex;;;;;
effect_zfeather,;;;;zfeather_fog_dtex;zfeather_fog_dtex;zfeather_fog_dtex;;;;;;;;;;;;;;;;;;zfeather_fog_dtex;zfeather_fog_dtex;;;wireframe_solid_dtex;;;;;
effect_zfeather_add,;;;;zfeather_add_fog_dtex;zfeather_add_fog_dtex;zfeather_add_fog_dtex;;;;;;;;;;;;;;;;;;zfeather_add_fog_dtex;zfeather_add_fog_dtex;;;wireframe_solid_dtex;;;;;
effect_zfeather_add_eyeoffset,;;;;zfeather_add_eyeofs_fog_dtex;zfeather_add_eyeofs_fog_dtex;zfeather_add_eyeofs_fog_dtex;;;;;;;;;;;;;;;;;;zfeather_add_eyeofs_fog_dtex;zfeather_add_eyeofs_fog_dtex;;;wireframe_solid_dtex;;;;;
effect_zfeather_add_nofog,;;;;zfeather_add_dtex;zfeather_add_dtex;zfeather_add_dtex;;;;;;;;;;;;;;;;;;zfeather_add_dtex;zfeather_add_dtex;;;wireframe_solid_dtex;;;;;
effect_zfeather_add_nofog_eyeoffset,;;;;zfeather_add_eyeofs_dtex;zfeather_add_eyeofs_dtex;zfeather_add_eyeofs_dtex;;;;;;;;;;;;;;;;;;zfeather_add_eyeofs_dtex;zfeather_add_eyeofs_dtex;;;wireframe_solid_dtex;;;;;
effect_zfeather_add_nofog_spot,;;;;zfeather_add_spot_dtex;zfeather_add_spot_dtex;zfeather_add_spot_shad_dtex;;;;;;;;;;;;;;;;;;zfeather_add_spot_dtex;zfeather_add_spot_dtex;;;wireframe_solid_dtex;;;;;
effect_zfeather_add_nofog_spot_hsm,;;;;zfeather_add_spot_dtex;zfeather_add_spot_dtex;zfeather_add_spot_hsm_dtex;;;;;;;;;;;;;;;;;;zfeather_add_spot_dtex;zfeather_add_spot_dtex;;;wireframe_solid_dtex;;;;;
